,Breeding density(individuals per ha),Number of pedestrians per ha per min
0,7.974940240010504,0.8511457468272237
1,33.316186639841845,3.97384944167473
2,60.40700688546018,5.955375653090745
3,89.56226562577437,5.959888406042098
4,74.25069055173341,6.039171303793225
5,166.52598631434302,6.9296888268708985
6,155.7938896876309,8.023098082435729
7,143.3809079630637,8.945459113426312
8,229.6323035608582,11.048902188666943
9,184.96516830343126,11.976194684508183
10,201.5490017597192,12.13555306261186
11,155.13974884015593,12.929276344135737
12,236.14259449268178,13.875156983677147
13,242.02017204980172,15.03391817142322
14,218.42335686912364,15.97353826512551
15,131.36336579875348,19.003578194604746
16,130.64346195759757,19.02508232258047
17,71.26283659518099,20.055235867615618
18,80.49677599440808,21.0630477564437
19,55.74488583446785,22.9431724392924
20,28.837369184630262,27.177560058732112
21,8.18640779062837,28.945973264594596
22,16.412883535094725,32.876903502483685
23,82.15302193289507,39.11858104416749
