Genotype,Genotype,Flesh Colour,Genotype.1,tubershape,Genotype.2,decol5min,Genotype.3,DSC_Onset
CE698,CE698,26.7418,CE715,4.75,CE715,3.5,CE715,61.4
CE702,CE702,13.2972,CE717,1.67,CE717,0.0,CE717,62.21
CE709,CE709,13.3941,CE721,2.92,CE721,3.5,CE721,63.09
CE712,CE712,23.8292,CE722,1.83,CE722,1.0,CE722,64.29
CE714,CE714,7.7429,CE723,1.5,CE723,1.5,CE723,63.32
CE715,CE715,12.6272,CE724,2.5,CE724,2.0,CE724,63.29
CE717,CE717,25.479,CE726,2.0,CE726,3.5,CE726,63.02
CE721,CE721,19.9138,CE736,3.5,CE736,1.5,CE736,64.48
CE722,CE722,30.3484,CE738,3.58,CE738,2.5,CE738,65.07
CE723,CE723,8.4499,CE740,3.0,CE740,3.0,CE740,64.5
CE724,CE724,16.076,CE746,1.5,CE746,0.0,CE746,65.77
CE726,CE726,10.0924,CE747,4.75,CE747,1.0,CE747,63.98
CE732,CE732,7.6784,CE752,1.67,CE752,0.0,CE752,65.09
CE736,CE736,27.5526,CE755,2.25,CE755,2.5,CE755,62.41
CE738,CE738,8.5944,CE756,1.5,CE756,2.0,CE756,65.25
CE740,CE740,48.2774,CE769,3.0,CE769,3.0,CE769,61.63
CE746,CE746,31.8213,CE778,4.83,CE778,2.5,CE778,62.35
CE747,CE747,9.1045,CE782,3.5,CE782,1.0,CE782,64.42
CE752,CE752,50.5594,CE785,2.33,CE785,1.0,CE785,65.42
CE755,CE755,9.1515,,,,,,
CE756,CE756,38.8247,,,,,,
CE761,CE761,6.8875,,,,,,
CE765,CE765,12.7372,,,,,,
CE769,CE769,7.1308,,,,,,
CE778,CE778,7.0615,,,,,,
CE782,CE782,24.0721,,,,,,
CE785,CE785,27.9019,,,,,,
